[2026-06-01 10:02:40.863856] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 142.251.222.195
[2026-06-01 10:02:40.863793] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 142.251.222.195
[2026-06-01 10:02:40.897897] DNS SPOOF DETECTED | Domain: www.gstatic.com. | Trusted IP: 142.250.77.99 | Received IP: 2404:6800:4007:83b::2003
[2026-06-01 10:02:40.906086] DNS SPOOF DETECTED | Domain: www.gstatic.com. | Trusted IP: 142.250.77.99 | Received IP: 2404:6800:4007:83b::2003
[2026-06-01 10:02:41.445244] DNS SPOOF DETECTED | Domain: play.google.com. | Trusted IP: 142.250.206.14 | Received IP: 2404:6800:4007:810::200e
[2026-06-01 10:02:41.445311] DNS SPOOF DETECTED | Domain: play.google.com. | Trusted IP: 142.250.206.14 | Received IP: 2404:6800:4007:810::200e
[2026-06-01 10:02:41.451983] DNS SPOOF DETECTED | Domain: play.google.com. | Trusted IP: 142.250.206.14 | Received IP: 142.250.182.78
[2026-06-01 10:02:41.451887] DNS SPOOF DETECTED | Domain: play.google.com. | Trusted IP: 142.250.206.14 | Received IP: 142.250.182.78
[2026-06-01 10:02:42.410030] DNS SPOOF DETECTED | Domain: i.ytimg.com. | Trusted IP: 2404:6800:4003:c04::77 | Received IP: 172.217.194.119
[2026-06-01 10:02:42.415433] DNS SPOOF DETECTED | Domain: i.ytimg.com. | Trusted IP: 2404:6800:4003:c04::77 | Received IP: 172.217.194.119
[2026-06-01 10:02:42.740268] DNS SPOOF DETECTED | Domain: googleads.g.doubleclick.net. | Trusted IP: 2404:6800:4007:808::2002 | Received IP: 142.251.222.162
[2026-06-01 10:02:42.751114] DNS SPOOF DETECTED | Domain: static.doubleclick.net. | Trusted IP: 2404:6800:4007:830::2006 | Received IP: 142.250.206.6
[2026-06-01 10:02:42.758454] DNS SPOOF DETECTED | Domain: googleads.g.doubleclick.net. | Trusted IP: 2404:6800:4007:808::2002 | Received IP: 142.251.222.162
[2026-06-01 10:02:42.765507] DNS SPOOF DETECTED | Domain: static.doubleclick.net. | Trusted IP: 2404:6800:4007:830::2006 | Received IP: 142.250.206.6
[2026-06-01 10:02:43.380444] DNS SPOOF DETECTED | Domain: safebrowsing.googleapis.com. | Trusted IP: 142.251.43.234 | Received IP: 2404:6800:4007:808::200a
[2026-06-01 10:02:43.393451] DNS SPOOF DETECTED | Domain: safebrowsing.googleapis.com. | Trusted IP: 142.251.43.234 | Received IP: 2404:6800:4007:808::200a
[2026-06-01 10:02:44.523813] DNS SPOOF DETECTED | Domain: optimizationguide-pa.googleapis.com. | Trusted IP: 2001:4860:4802:36::223 | Received IP: 216.239.34.223
[2026-06-01 10:02:44.524116] DNS SPOOF DETECTED | Domain: optimizationguide-pa.googleapis.com. | Trusted IP: 2001:4860:4802:36::223 | Received IP: 216.239.34.223
[2026-06-01 10:02:53.895124] DNS SPOOF DETECTED | Domain: media-blr1-2.cdn.whatsapp.net. | Trusted IP: 2a03:2880:f317:120:face:b00c:0:167 | Received IP: 57.144.53.32
[2026-06-01 10:02:53.915692] DNS SPOOF DETECTED | Domain: media-blr1-2.cdn.whatsapp.net. | Trusted IP: 2a03:2880:f317:120:face:b00c:0:167 | Received IP: 57.144.53.32
[2026-06-01 10:03:08.432815] DNS SPOOF DETECTED | Domain: drive.google.com. | Trusted IP: 2404:6800:4007:838::200e | Received IP: 142.250.66.14
[2026-06-01 10:03:08.445674] DNS SPOOF DETECTED | Domain: drive.google.com. | Trusted IP: 2404:6800:4007:838::200e | Received IP: 142.250.66.14
[2026-06-01 10:03:09.084380] DNS SPOOF DETECTED | Domain: drive.google.com. | Trusted IP: 2404:6800:4007:838::200e | Received IP: 142.250.66.14
[2026-06-01 10:03:09.085699] DNS SPOOF DETECTED | Domain: drive.google.com. | Trusted IP: 2404:6800:4007:838::200e | Received IP: 142.250.66.14
[2026-06-01 10:03:12.341829] DNS SPOOF DETECTED | Domain: www.gstatic.com. | Trusted IP: 142.250.77.99 | Received IP: 2404:6800:4007:83b::2003
[2026-06-01 10:03:12.342507] DNS SPOOF DETECTED | Domain: www.gstatic.com. | Trusted IP: 142.250.77.99 | Received IP: 2404:6800:4007:83b::2003
[2026-06-01 10:03:12.612882] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 2404:6800:4007:83f::2003
[2026-06-01 10:03:12.612849] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 2404:6800:4007:83f::2003
[2026-06-01 10:03:12.619518] DNS SPOOF DETECTED | Domain: ssl.gstatic.com. | Trusted IP: 172.217.24.195 | Received IP: 142.251.222.195
